,id,address,base_addr,dist
19537,8022414,"проезд. Новомихалковский 1-й, д. 6","1-й Новомихалковский проезд, дом 6",0.2857142857142857
25772,8182223,"линия. Северная 3-я, д. 9","9-я Северная линия, дом 3",0.2857142857142857
8340,7676995,"улица Гражданская 4-я, д. 35","4-я Гражданская улица, дом 35",0.2857142857142857
32203,8120494,"улица Юных Ленинцев, д. 28/35","улица Юных Ленинцев, дом 28/35",0.2857142857142857
15867,7717043,"улица Марии Поливановой, д. 2/19","улица Марии Поливановой, дом 2/19",0.2857142857142857
16883,7553967,"улица Мелитопольская 1-я, д. 28","1-я Мелитопольская улица, дом 28",0.2857142857142857
15274,8022055,"переулок Лихачевский 2-й, д. 4","2-й Лихачёвский переулок, дом 4",0.2857142857142857
19572,8022539,"проезд. Новомихалковский 4-й, д. 10А","4-й Новомихалковский проезд, дом 10А",0.2857142857142857
19564,8022506,"проезд. Новомихалковский 4-й, д. 1А","4-й Новомихалковский проезд, дом 1А",0.2857142857142857
19568,8022524,"проезд. Новомихалковский 4-й, д. 7А","4-й Новомихалковский проезд, дом 7А",0.2857142857142857
21717,7562000,"улица Парковая 6-я, д. 30","6-я Парковая улица, дом 30",0.2857142857142857
21518,7560018,"улица Парковая 16-я, д. 2","16-я Парковая улица, дом 2",0.2857142857142857
14222,8905363,"улица Курьяновская 1-я, д. 6б","1-я Курьяновская улица, дом 6Б",0.2857142857142857
7834,8021799,"улица Генерала Рычагова, д. 23/11","улица Генерала Рычагова, дом 23/11",0.2857142857142857
5191,7700533,"проезд. Ботанический 1-й, д. 3","1-й Ботанический проезд, дом 3",0.2857142857142857
19602,8162829,"улица Новоостанкинская 3-я, д. 23","3-я Новоостанкинская улица, дом 23",0.2857142857142857
17483,8152635,"переулок Михалковский 3-й, д. 21","3-й Михалковский переулок, дом 21",0.2857142857142857
30231,8128065,"проезд. Хорошевский 2-й, д. 7А","2-й Хорошёвский проезд, дом 7А",0.2857142857142857
21209,7876005,"проезд. Павелецкий 3-й, д. 9А","3-й Павелецкий проезд, дом 9А",0.2857142857142857
21739,7562081,"улица Парковая 7-я, д. 21","7-я Парковая улица, дом 21",0.2857142857142857
21441,7561791,"улица Парковая 14-я, д. 3А","14-я Парковая улица, дом 3А",0.2857142857142857
14535,7653627,"улица Лазенки 6-я, д. 5","6-я улица Лазенки, дом 5",0.2857142857142857
19570,8022531,"проезд. Новомихалковский 4-й, д. 8А","4-й Новомихалковский проезд, дом 8А",0.2857142857142857
19706,7838734,"переулок Новоподмосковный 8-й, д. 4","8-й Новоподмосковный переулок, дом 4",0.2857142857142857
9504,9065739,"переулок Дорогобужский 2-й, д. 6","2-й Дорогобужский переулок, дом 6",0.2857142857142857
21515,8042244,"улица Парковая 15-я, д. 56","15-я Парковая улица, дом 56",0.2857142857142857
26273,7854519,"улица Синичкина 2-я, д. 17","2-я улица Синичкина, дом 17",0.2857142857142857
16747,8151889,"бульвар Матроса Железняка, д. 26/11","бульвар Матроса Железняка, дом 26/11",0.2857142857142857
6569,7680642,"улица Владимирская 2-я, д. 9Б","2-я Владимирская улица, дом 9Б",0.2857142857142857
23926,7574813,"улица Прядильная 1-я, д. 3","3-я Прядильная улица, дом 1",0.2857142857142857
19599,8162810,"улица Новоостанкинская 3-я, д. 15","3-я Новоостанкинская улица, дом 15",0.2857142857142857
14554,7653741,"улица Лазенки 7-я, д. 26","7-я улица Лазенки, дом 26",0.2857142857142857
17473,8132372,"переулок Михалковский 3-й, д. 15","3-й Михалковский переулок, дом 15",0.2857142857142857
17478,8152626,"переулок Михалковский 3-й, д. 17","3-й Михалковский переулок, дом 17",0.2857142857142857
28325,7602214,"улица Текстильщиков 11-я, д. 2","11-я улица Текстильщиков, дом 2",0.2857142857142857
14549,7653801,"улица Лазенки 7-я, д. 8","7-я улица Лазенки, дом 8",0.2857142857142857
16333,7683768,"бульвар Маршала Рокоссовского, д. 19/16","бульвар Маршала Рокоссовского, дом 19/16",0.2857142857142857
28367,7602071,"улица Текстильщиков 8-я, д. 7","8-я улица Текстильщиков, дом 7",0.2857142857142857
21443,7561799,"улица Парковая 14-я, д. 5","14-я Парковая улица, дом 5",0.2857142857142857
